id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url,is_sav_candidate,clean_text,nb_mots,nb_exclam,nb_interro,nb_emoji,has_media,sentiment_lex,theme_principal,urgence_flag
1866542234885111851,2024-12-10 18:55:22+01:00,"@m_annuel @free @fingapp @outagedetect Je vais les quitter dans peu de temps\nDepuis que j'ai la fibre, j'ai des caméras qui ne fonctionnent plus, ils parlent justement de réseau wifi instable, c'est sans arrêt, donc pas de connexion",[],DeAngelisMike1,De Angelis Mike ✝️ 🇫🇷 🇮🇹 ❤️,https://pbs.twimg.com/profile_images/1599878935843594250/f1ZgVyXS_normal.jpg,1599356059394744322,1.3434582579150316e+18,,,[],0,0,0,0,1,72.0,False,False,False,https://twitter.com/DeAngelisMike1/status/1866542234885111851,True,"je vais les quitter dans peu de temps ndepuis que j ai la fibre, j ai des caméras qui ne fonctionnent plus, ils parlent justement de réseau wifi instable, c est sans arrêt, donc pas de connexion",37,0,0,0,False,neutre,reseau,0
1866544280925319465,2024-12-10 19:03:29+01:00,@Xavier75 @Freebox \n\nPossible d'avoir internet ou je dois encore attendre 1 mois et demi de plus pour un rdv technicien ? Ça fait long la.,[],tr1shxz,trish,https://pbs.twimg.com/profile_images/712370401326862336/Zm7Bn1ZK_normal.jpg,712370004197515265,,,,[],0,0,0,0,1,69.0,False,False,False,https://twitter.com/tr1shxz/status/1866544280925319465,True,n npossible d avoir internet ou je dois encore attendre 1 mois et demi de plus pour un rdv technicien ? ça fait long la.,25,0,1,0,False,neutre,support,1
1866595640194527701,2024-12-10 22:27:34+01:00,"@Freebox bonsoir j’suis bloqué en étape 3d suite à une histoire d’écrasement de fibre, et ce sans prévenir \nDes infos ?\nDois-je résilier et passer à plus fiable ?",[],Habib_Potter,Habib_Potter 🇵🇸🇱🇧,https://pbs.twimg.com/profile_images/1645976761979777032/iMVzvR3q_normal.jpg,236621049,,,,[],1,0,0,0,2,185.0,False,False,False,https://twitter.com/Habib_Potter/status/1866595640194527701,True,"bonsoir j suis bloqué en étape 3d suite à une histoire d écrasement de fibre, et ce sans prévenir ndes infos ? ndois je résilier et passer à plus fiable ?",31,0,2,0,False,negatif,reseau,1
1866630888202834238,2024-12-11 00:47:38+01:00,remet internet @Freebox,[],BqrnedW3B,lucas,https://pbs.twimg.com/profile_images/1932372495203540992/G5K9aS40_normal.jpg,1193462029086076929,,,,[],4,0,0,0,8,882.0,False,False,False,https://twitter.com/BqrnedW3B/status/1866630888202834238,True,remet internet,2,0,0,0,False,neutre,autre,0
1866664872194478487,2024-12-11 03:02:41+01:00,"@free Ça fait deux fois cette nuit que j’ai plus d’Internet, que ce soit ma box ou mon portable, et ça pendant 15 min. Pas prévenu de quoi que ce soit, ça arrive au moins tous les deux jours et on ne nous dit rien qu’est-ce qu’il se passe chez free ? C’est extrêmement frustrant",[],TlgX4,🌺Reblo🇫🇷🛸🌾,https://pbs.twimg.com/profile_images/1881117852364685312/aZ98_oZ2_normal.jpg,1261085355396259842,1.8661388608767104e+18,,,[],3,0,0,0,2,148.0,False,False,False,https://twitter.com/TlgX4/status/1866664872194478487,True,"ça fait deux fois cette nuit que j ai plus d internet, que ce soit ma box ou mon portable, et ça pendant 15 min. pas prévenu de quoi que ce soit, ça arrive au moins tous les deux jours et on ne nous dit rien qu est ce qu il se passe chez free ? c est extrêmement frustrant",60,0,1,0,False,neutre,reseau,1
1866729522520826016,2024-12-11 07:19:34+01:00,Inédit : Bonne nouvelle avec un beau cadeau sur la migration @Freebox Révolution vers Freebox Ultra et certains abonnés @free qui peuvent en bénéficier. Faîtes vous partie des chanceux ? 🥰Comment le savoir ? Simple Tuto à lire pour avoir la réponse.🕷️\n\nhttps://t.co/ChhzIAtAJf https://t.co/S9HGMoKZls,"[{""type"":""photo"",""url"":""https://t.co/S9HGMoKZls"",""thumbnail"":""https://pbs.twimg.com/media/GefzjbQWMAAYDrO?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GefzjbQWMAAYDrO?format=jpg&name=orig""}]",BusyspiderFr,🕷️ Busyspider,https://pbs.twimg.com/profile_images/1409083181521846279/F7l-yQ2s_normal.jpg,778717698,,,,[],6,4,0,0,3,778.0,False,False,False,https://twitter.com/BusyspiderFr/status/1866729522520826016,True,inédit : bonne nouvelle avec un beau cadeau sur la migration révolution vers freebox ultra et certains abonnés qui peuvent en bénéficier. faîtes vous partie des chanceux ? comment le savoir ? simple tuto à lire pour avoir la réponse. n n,42,0,2,2,True,neutre,reseau,0
1866768698981470255,2024-12-11 09:55:15+01:00,Mais @free c’est trop !!! Tous les mois j’ai une coupure internet,[],sul_tan000,SD,https://pbs.twimg.com/profile_images/1902318013510000640/uUc-A6YI_normal.jpg,1556617731583229952,,,,[],0,0,0,1,1,178.0,False,False,False,https://twitter.com/sul_tan000/status/1866768698981470255,True,mais c est trop !!! tous les mois j ai une coupure internet,13,3,0,0,False,negatif,reseau,0
1866785139755507883,2024-12-11 11:00:35+01:00,"@DPD_Fr @free\nBonjour,\nJe souscris un abonnement chez free. Je suis sensé recevoir la box le 10 décembre (SMS reçu).\nPas de colis, par téléphone une personne me répond comme un robot. \nJe n'ai plus internet pendant 24/48h et on me dit ""soyez patient""... \nMerci @free et @DPD_Fr",[],MizianRabeel,Rafaqat,https://pbs.twimg.com/profile_images/628242376415444992/lGtk4OqK_normal.png,3401485469,,,,[],0,0,0,0,2,38.0,False,False,False,https://twitter.com/MizianRabeel/status/1866785139755507883,True,"nbonjour, nje souscris un abonnement chez free. je suis sensé recevoir la box le 10 décembre sms reçu . npas de colis, par téléphone une personne me répond comme un robot. nje n ai plus internet pendant 24 48h et on me dit soyez patient ... nmerci et",48,0,0,0,False,positif,reseau,1
1866831685678932110,2024-12-11 14:05:32+01:00,@Freebox on fait comment quand personne nous recontacte ? Ticket incident ouvert depuis 1 sem. Client pro !!,[],LeGeraldine,Gwen,https://pbs.twimg.com/profile_images/996501245035778048/Tr9ENLcv_normal.jpg,1117545710,,,,[],0,0,0,0,1,53.0,False,False,False,https://twitter.com/LeGeraldine/status/1866831685678932110,True,on fait comment quand personne nous recontacte ? ticket incident ouvert depuis 1 sem. client pro !!,17,2,1,0,False,neutre,support,0
1866849874630578302,2024-12-11 15:17:49+01:00,@free tjs pas d’internet de tv rien ! On prend des rdv mais les techniciens n’appellent que moi qui suis au travail et pas là 2eme ligne de portable que nous avons chez eux de mon conjoint qui lui était à la maison pour eux…,[],GuillaumePorti2,Guillaume Portier,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1182911634349740032,,,,[],0,0,0,0,1,20.0,False,False,False,https://twitter.com/GuillaumePorti2/status/1866849874630578302,True,tjs pas d internet de tv rien ! on prend des rdv mais les techniciens n appellent que moi qui suis au travail et pas là 2eme ligne de portable que nous avons chez eux de mon conjoint qui lui était à la maison pour eux,46,1,0,0,False,neutre,support,0
1866862975505797563,2024-12-11 16:09:52+01:00,"Bonjour @free . J'ai un abonnement à 9.99€ à vie (si si), je voudrais savoir si je peux avoir de la 5G pour le même prix sans perdre cette offre commerciale ?",[],HebusDe,ChatRoule,https://pbs.twimg.com/profile_images/1511943265200787457/PisBJbEj_normal.jpg,1455789136682569729,,,,[],0,0,0,0,1,80.0,False,False,False,https://twitter.com/HebusDe/status/1866862975505797563,True,"bonjour . j ai un abonnement à 9.99 à vie si si , je voudrais savoir si je peux avoir de la 5g pour le même prix sans perdre cette offre commerciale ?",33,0,1,0,False,positif,abonnement,0
1866866037880242217,2024-12-11 16:22:02+01:00,@free  Bonjour on a installer la fibre dans mon immeuble. C’est quand vous voulez ( ps je vis avec un débit de 20Mb/s ) \nMerci,[],Savage_Poultry,路易,https://pbs.twimg.com/profile_images/654374761527644160/6NGzvqy3_normal.jpg,552033290,,,,[],0,0,0,0,1,26.0,False,False,False,https://twitter.com/Savage_Poultry/status/1866866037880242217,True,bonjour on a installer la fibre dans mon immeuble. c est quand vous voulez ps je vis avec un débit de 20mb s nmerci,24,0,0,0,False,positif,reseau,0
